dag,mengde
214,Lite eller ingen regn
215,Mye regn
216,Mye regn
217,Lite eller ingen regn
218,Mye regn
219,Mye regn
220,Lite eller ingen regn
221,Mye regn
222,Lite eller ingen regn
223,Lite eller ingen regn
224,Mye regn
225,Mye regn
226,Mye regn
227,Mye regn
228,Mye regn
229,Lite eller ingen regn
230,Mye regn
231,Mye regn
232,Mye regn
233,Lite eller ingen regn
234,Mye regn
235,Lite eller ingen regn
236,Mye regn
237,Mye regn
238,Lite eller ingen regn
239,Lite eller ingen regn
240,Lite eller ingen regn
241,Mye regn
242,Mye regn
243,Lite eller ingen regn
244,Mye regn
245,Mye regn
246,Lite eller ingen regn
247,Mye regn
248,Mye regn
249,Mye regn
250,Mye regn
251,Mye regn
252,Mye regn
253,Mye regn
254,Mye regn
255,Lite eller ingen regn
256,Lite eller ingen regn
257,Mye regn
258,Mye regn
259,Mye regn
260,Lite eller ingen regn
261,Lite eller ingen regn
262,Mye regn
263,Mye regn
264,Mye regn
265,Mye regn
266,Lite eller ingen regn
267,Mye regn
268,Lite eller ingen regn
269,Mye regn
270,Mye regn
271,Mye regn
272,Lite eller ingen regn
273,Mye regn
274,Mye regn
275,Lite eller ingen regn
276,Lite eller ingen regn
277,Mye regn
278,Mye regn
279,Mye regn
280,Lite eller ingen regn
281,Mye regn
282,Mye regn
283,Mye regn
284,Mye regn
285,Lite eller ingen regn
286,Mye regn
287,Lite eller ingen regn
288,Mye regn
289,Lite eller ingen regn
290,Mye regn
291,Mye regn
292,Mye regn
293,Lite eller ingen regn
294,Mye regn
295,Mye regn
296,Lite eller ingen regn
297,Mye regn
298,Mye regn
299,Lite eller ingen regn
300,Lite eller ingen regn
301,Mye regn
302,Lite eller ingen regn
303,Lite eller ingen regn
304,Mye regn
305,Mye regn
306,Mye regn
307,Mye regn
308,Lite eller ingen regn
309,Lite eller ingen regn
310,Lite eller ingen regn
311,Lite eller ingen regn
312,Lite eller ingen regn
313,Mye regn
314,Mye regn
315,Mye regn
316,Mye regn
317,Mye regn
318,Lite eller ingen regn
319,Lite eller ingen regn
320,Mye regn
321,Mye regn
322,Mye regn
323,Mye regn
324,Lite eller ingen regn
325,Lite eller ingen regn
326,Lite eller ingen regn
327,Mye regn
328,Mye regn
329,Mye regn
330,Lite eller ingen regn
331,Mye regn
332,Mye regn
333,Lite eller ingen regn
334,Lite eller ingen regn
335,Lite eller ingen regn
336,Mye regn
337,Lite eller ingen regn
338,Lite eller ingen regn
339,Mye regn
340,Mye regn
341,Lite eller ingen regn
342,Mye regn
343,Mye regn
344,Mye regn
345,Mye regn
346,Mye regn
347,Mye regn
348,Lite eller ingen regn
349,Lite eller ingen regn
350,Mye regn
351,Mye regn
352,Lite eller ingen regn
353,Lite eller ingen regn
354,Lite eller ingen regn
355,Mye regn
356,Lite eller ingen regn
357,Lite eller ingen regn
358,Lite eller ingen regn
359,Mye regn
360,Mye regn
361,Lite eller ingen regn
362,Mye regn
363,Mye regn
364,Mye regn
365,Mye regn
